参数,作用,什么时候调
project,"训练日志项目名（主要给 wandb 用）","想把不同实验分组管理时改"
architecture,"模型架构说明字段（日志元数据）","基本不影响训练，仅用于记录"
train_img_dir,"训练图像目录","数据路径变化时改"
train_label_dir,"训练标签目录","数据路径变化时改"
val_img_dir,"验证图像目录","验证集位置变化时改"
val_label_dir,"验证标签目录","验证集位置变化时改"
patch_size,"训练时随机裁剪块大小，顺序是 Z,H,W","显存不够就减小；上下文不足就增大"
patches_per_volume,"每个训练体积每轮抽取多少 patch","训练太慢可减小，样本不足可增大"
val_patches_per_volume,"训练中快速验证时每个体积抽多少 patch","验证波动大就增大，想更快就减小"
batch_size,"每步训练样本数","显存允许就增大以提升吞吐"
num_workers,"DataLoader 并行加载进程数","CPU 强可增大，调试可设 0"
num_epochs,"训练总轮数","欠拟合增大，过拟合减小"
max_val_volumes,"每次验证最多评估多少体积，None 表示全量","想更快反馈可设小整数"
val_patch_size,"训练中滑窗验证 patch 大小","显存与精度平衡时调"
val_stride,"训练中滑窗验证步长","步长小更精细但更慢"
val_threshold,"验证时概率二值化阈值","提升召回可降低，提升精度可升高"
dust_remove_min_size,"后处理去小连通域阈值（体素数）","假阳性碎点多时增大"
optimizer,"优化器类型，支持 adam、adamw、sgd","想试收敛行为时切换"
weight_decay,"权重衰减（L2 正则）","过拟合明显时增大"
momentum,"SGD 动量，仅在 SGD 下生效","SGD 不稳定时调"
loss_type,"损失类型，支持 bce、focal、dicefocal","类不平衡严重常试 focal 或 dicefocal"
save_every,"每隔多少 epoch 保存一次模型","想更频繁保存就减小"
eval_train_set,"验证时是否顺带评估训练集","只做 sanity check 时开启"
hard_negative_enable,"是否启用 hard negative 采样","要强化难负样本学习时开"
hard_negative_dir,"hard negative 掩膜目录","开启 hard negative 时必须正确"
hard_negative_sample_ratio,"难负样本中心采样比例","假阳性多时适当增大"
hardest_negative,"是否用更“硬”的负样本核心区域","想更强针对误检时开"
hardest_negative_erosion_iters,"hardest negative 腐蚀迭代次数","想更严格可增大"
pos_weight_cap,"BCE 正样本权重上限，防止极端不平衡导致不稳定","正负极不平衡时很关键"
grad_clip_norm,"梯度裁剪阈值，防止梯度爆炸","loss 抖动大可减小一些"
disable_aug_last_epochs,"最后多少个 epoch 关闭增强，稳定收敛","末期指标抖动大可增大"
dice_weight,"dicefocal 中 Dice 项权重","仅在 dicefocal 时有效"
focal_weight,"dicefocal 中 Focal 项权重","仅在 dicefocal 时有效"
